Episode,Exp_En,Exp_Kr
The Office_S01E01.csv,Regional Manager,"지점장, 지역 관리자"
The Office_S01E01.csv,run,"달리다, 운영하다, 출마, 열리다, 계속하다"
The Office_S01E01.csv,board,"이사회, 위원회"
The Office_S01E01.csv,branch,지점
The Office_S01E01.csv,convince,"설득하다, 확신시키다, 납득시키다"
The Office_S01E01.csv,incorporate,"포함하다, 결합하다, 통합하다, 법인이 되다"
The Office_S01E01.csv,keep a lid on,"~을 억제하다, 단속하다, 감춰두다"
The Office_S01E01.csv,regime,"통치 방식, 관리 체제, 정권, 사회 제도, 체제"
The Office_S01E01.csv,come up,"나타나다, 오다, 마련하다"
The Office_S01E01.csv,compensation,"보상, 보수, 급여"
The Office_S01E01.csv,take up with sb.,"~와 의논하다, ~에게 따지다"
The Office_S01E01.csv,garner,~을 모으다
The Office_S01E01.csv,deem,"간주하다, 생각하다"
The Office_S01E01.csv,ultimatum,"최후통첩, 궁극점"
The Office_S01E01.csv,stick to,"~에 달라붙다, 고수하다, 충실하다"
The Office_S01E01.csv,engage,"관여하다, 약혼하다, 종사하다, 협상하다"
The Office_S01E01.csv,go out,"나가다, 데이트하다, 외출하다, 죽다"
The Office_S01E01.csv,be supposed to,"~하기로 되어 있다, ~할 의무가 있다"
The Office_S01E01.csv,atmosphere,"분위기, 대기"
The Office_S01E01.csv,severance pay,"퇴직금, 퇴직수당"
The Office_S01E01.csv,gross,"심한, 역겨운, 총체적인"
The Office_S01E01.csv,misconduct,"비행, 위법 행위, 직권 남용, ~의 관리를 잘못하다"
The Office_S01E02.csv,diversity,"다양성, 변화"
The Office_S01E02.csv,mandate,"~하도록 공식적으로 명령하다, 권한을 이양하다"
The Office_S01E02.csv,account,"계약, 계정"
The Office_S01E02.csv,commission," 수수료, 성과급"
The Office_S01E02.csv,ignorance,"무지, 무교육"
The Office_S01E02.csv,incident,"사건, 사태"
The Office_S01E02.csv,offensive,"모욕적인, 불쾌한, 공격 태세"
The Office_S01E02.csv,hilarious,"유쾌한, 재미있는"
The Office_S01E02.csv,ground-breaking,획기적인
The Office_S01E02.csv,empathy,"공감, 이입, 동정심"
The Office_S01E02.csv,joint,"공동의, 연대의"
The Office_S01E02.csv,pledge,"약속하다, 공약하다, 서약하다"
The Office_S01E02.csv,candidly,"솔직하게, 숨김없이, 터놓고"
The Office_S01E02.csv,embarrassed,"부끄러운, 당혹스러운"
The Office_S01E02.csv,cornerstone,"초석, 기본적인 것, 토대"
The Office_S01E02.csv,get down to business,"일에 착수하다, 본론에 들어가다"
The Office_S01E02.csv,connotation,"의미, 함축, 느낌, 이미지, 내포"
The Office_S01E02.csv,stereotype,고정관념
