Korean,English,Topic
제 이메일 확인해보셨을까요?, Did you get a chance to check my email?,직장인을 위한 영어패턴1-25
프로젝트에 대해 업데이트 해줄수 있어요?,Could you update us on the project? ,직장인을 위한 영어패턴1-25
그 연구에 대해 업데이트사항 있어요?,Any update on the research?,직장인을 위한 영어패턴1-25
그게 무슨 뜻인지 명확히 설명해주실 수 있나요?,Could you clarify what you mean by that? ,직장인을 위한 영어패턴1-25
이것에 대해서 어떻게 생각하세요?,What are your thoughts on this??,직장인을 위한 영어패턴1-25
우리는 이것을 지금 분석하고 있는 중입니다.,We’re in the process of analyzing it now. ,직장인을 위한 영어패턴1-25
그에게 물어봐야할 것입니다.,You would have to ask him that. ,직장인을 위한 영어패턴1-25
제 생각엔 그가 맞는것 같아요,I would say he’s right. ,직장인을 위한 영어패턴1-25
시간이 없으니 다음 건으로 넘어가시죠,We’re running/getting short on time so let’s move on to our next item.,직장인을 위한 영어패턴1-25
생각좀해보시고 저에게 알려주세요,Give it some thought and get back to me. ,직장인을 위한 영어패턴1-25
서면으로 해주실 수 있으세요?,Could you put that in writing? ,직장인을 위한 영어패턴1-25
우리가 이걸 이번주까지 끝내는게 중요해요,It’s essential that we get this done by this week. ,직장인을 위한 영어패턴1-25
그 세미나를 취소해야할지도 몰라요,We may have to call off the seminar.  ,직장인을 위한 영어패턴1-25
내일 아침까지 저에게 보내주시면 좋겠습니다.,It would be great if you could send it to me by tomorrow. ,직장인을 위한 영어패턴1-25
덧붙일 말 있어요?,Do you have anything to add? ,직장인을 위한 영어패턴1-25
그게 언제 완료될 것으로 예상하나요?,When do you expect to have that completed? ,직장인을 위한 영어패턴1-25
3시30분에 그 세션에 참석하는거 기억해두세요,Please make a note to attend that session at 3:30,직장인을 위한 영어패턴1-25
특별히 생각해둔건 없어요,I don’t have anything particular in mind. ,직장인을 위한 영어패턴1-25
(전화를 대신받음) 그에게 다시 전화하라고 할게요,I’ll have him call you back. ,직장인을 위한 영어패턴1-25
그 이슈를 해결하기위해 노력하고 있어요,We’re working to fix the issue.,직장인을 위한 영어패턴1-25
금요일까지 보내드릴게요 (책임감있게. 적극적으로),I’ll have it sent to you by Friday.,직장인을 위한 영어패턴1-25
우리 서로 생각이 같다니 다행이네요,I’m glad we’re on the same page. ,직장인을 위한 영어패턴1-25
가능하면 내일 뵙고싶습니다.,"I would like to see you tomorrow morning, if possible. ",직장인을 위한 영어패턴1-25
"혹시몰라 알려드리는데, 우리 다음주에 conference가 있어요","Quick reminder, we have a conference scheduled for next week. ",직장인을 위한 영어패턴1-25
혹시 생각 있으세요?,Would you be interested by any chance? ,직장인을 위한 영어패턴1-25
제가 내일 출근하자마자 보내드릴게요,I'll send it to you first thing in the moring,미국 직장인이 매일 쓰는 영어 100문장
월요일은 어떠세요?,How does Monday sound?,미국 직장인이 매일 쓰는 영어 100문장
월요일은 안될것 같아요,I don't think I can do Monday,미국 직장인이 매일 쓰는 영어 100문장
혹시 바쁘신데 제가 연락드리고 있나요?,Am I catching you at a bad time?,미국 직장인이 매일 쓰는 영어 100문장
"사실, 오늘 중으로 필요해요","Actually, I need it by the end of the day.",미국 직장인이 매일 쓰는 영어 100문장
일하는데 방해해서 미안해요,Sorry to interrupt your work,미국 직장인이 매일 쓰는 영어 100문장
제가 알아보고 다시 연락드릴게요,I’ll look into it and get back to you,미국 직장인이 매일 쓰는 영어 100문장
회신 기다리겠습니다.,I look forward to your reply.,미국 직장인이 매일 쓰는 영어 100문장
한마디만 해도 될까요?,Can I add one thing?,미국 직장인이 매일 쓰는 영어 100문장
이것에 대해서 어떻게 생각하세요?,What are your thoughts on this?,미국 직장인이 매일 쓰는 영어 100문장
왜 그 이메일에 저는 참조되지 않았나요?,Why wasn’t I cc’d on the email?,미국 직장인이 매일 쓰는 영어 100문장
언제가 좋은세요? 제가 일정에 맞춰보도록 할게요,When’s a good time for you? I’ll try to work around your schedule.,미국 직장인이 매일 쓰는 영어 100문장
죄송하지만 회의일정을 다시 잡아야할 것 같아요,I’m afraid we’re going to have to reschedule our meeting.,미국 직장인이 매일 쓰는 영어 100문장
갑작스러운 요청에도 만나주셔서 감사합니다.,Thank you for seeing me on such short notice.,미국 직장인이 매일 쓰는 영어 100문장
너무 촉박하게 알려줘서 미안해요,I’m sorry for the short notice.,미국 직장인이 매일 쓰는 영어 100문장
모두 동의하는 건가요?,Are we all on the same page?,미국 직장인이 매일 쓰는 영어 100문장
잠깐 저좀 볼수있어요?,Can I see you for a sec?,미국 직장인이 매일 쓰는 영어 100문장
그분에게 메시지 꼭 전달해드릴게요,I’ll see that he gets the message.,미국 직장인이 매일 쓰는 영어 100문장
제가 지금 회의중이라서요. 이따가 전화드려도 될까요?,I’m in the middle of a meeting. Can I call you back later?,미국 직장인이 매일 쓰는 영어 100문장
그는 오늘 퇴근했어요,He is gone(has left) for the day.,미국 직장인이 매일 쓰는 영어 100문장
마지막 질문을 다시 명확히 해주시겠어요?,Could you clarify your last question?,미국 직장인이 매일 쓰는 영어 100문장
아직 그것에대해 생각해볼 겨를이 없었어요,I haven’t had a chance to think about it yet.,미국 직장인이 매일 쓰는 영어 100문장
요청하신 파일입니다.,Here’s the file you requested.,미국 직장인이 매일 쓰는 영어 100문장
좋은 아이디어를 생각해냈어요,I’ve come up with a great idea.,미국 직장인이 매일 쓰는 영어 100문장
저희가 최대한 빨리 다시 연락을 드리겠습니다,We’ll get back to you as soon as we can.,미국 직장인이 매일 쓰는 영어 100문장
시간이 별로 없기 때문에 질문 하나만 더 받겠습니다,"We’re a little short on time, so I’ll just take one more question.",미국 직장인이 매일 쓰는 영어 100문장
급하게 처리해야하는 것인가요?,Is it time sensitive?,미국 직장인이 매일 쓰는 영어 100문장
저에게 직접 이메일로 보내주시면 됩니다,You can email it to me directly.,미국 직장인이 매일 쓰는 영어 100문장
죄송합니다. 그건 제가 결정할 수 있는 것이 아니라서요,"I’m sorry, but it’s not up to me.",미국 직장인이 매일 쓰는 영어 100문장
제가 담당자가 아니라서요. 다시 전화 주시겠어요?,"I’m not the person in charge, so could you call back later?",미국 직장인이 매일 쓰는 영어 100문장
제가 나중에 다시 문의 드릴게요,I’ll check back with you later,미국 직장인이 매일 쓰는 영어 100문장
지금 클라이언트와 계십니다,He’s with a client at the moment.,미국 직장인이 매일 쓰는 영어 100문장
바쁘신 걸 알기 때문에 간단하게 말씀드릴게요,"I know you’re busy, so I’ll be brief.",미국 직장인이 매일 쓰는 영어 100문장
월요일에 간단하게 회의를 합시다,Let’s do a quick meeting on Monday.,미국 직장인이 매일 쓰는 영어 100문장
잠깐 시간 돼요?,Do you have a minute?,미국 직장인이 매일 쓰는 영어 100문장
시간이 좀 걸리지만 그래도 진행되고 있어요,"It’s taking some time, but it’s coming along",미국 직장인이 매일 쓰는 영어 100문장
"미안해요,. 제가 지금은 좀 바빠서요","I’m sorry, but I’m a little tied up right now.",미국 직장인이 매일 쓰는 영어 100문장
방금 잠깐 나가셨는데요,He just stepped out.,미국 직장인이 매일 쓰는 영어 100문장
Mike 여기서부터 맡아서 진행해줄 수 있어요?,"Mike, can you take it from here?",미국 직장인이 매일 쓰는 영어 100문장
"미안하지만,, 그부분에 대해서는 동의할 수 없네요","I’m sorry, but I’m not with you on that.",미국 직장인이 매일 쓰는 영어 100문장
