Korean,English,Topic
"저는 한 2년 전에 스픽에 입사했어요.	",I joined Speak about 2 years ago.,비즈니스(회사생활 영어)
"저 작년에 구글에서 퇴사했어요. 	",I left Google last year.,비즈니스(회사생활 영어)
"저 여기서 근무한 지 일주일밖에 안 되었어요.	",I've been working here for only a week.,비즈니스(회사생활 영어)
"뭐든 필요하면 부담 없이 연락하세요.	",Feel free to reach out if you need anything.,비즈니스(회사생활 영어)
그냥 궁금한게 있는데요. 더 많은 마케팅 자료는 어디서 찾을 수 있죠?,I was just wondering. Where can I find more marketing resources?,비즈니스(회사생활 영어)
나 최근에 신규 프로젝트를 맡게 되었어.,I recently took on a new project.,비즈니스(회사생활 영어)
"나 3일 연속으로 초과 근무했어.	",I've been working overtime for 3 days straight.,비즈니스(회사생활 영어)
"쉬엄쉬엄 해.	",Take it easy.,비즈니스(회사생활 영어)
"혹시 제 이메일 읽어 보셨어요?	",Have you read my email by any chance?,비즈니스(회사생활 영어)
"기회가 날 때, 이 보고서들 좀 검토해 줄래?	","""When you get a chance, would you review these reports?""",비즈니스(회사생활 영어)
"아직 그것을 미처 못 했어.	",I haven't gotten around to it yet.,비즈니스(회사생활 영어)
"넵 알겠어요.	",Got it.,비즈니스(회사생활 영어)
"그 디자인 프로그램을 사용하는 것의 감을 잡아가고 있어요.	",I'm getting the hang of using the design program.,비즈니스(회사생활 영어)
"제 일을 잘 파악하고 있어야 해요.	",I need to stay on top of my work.,비즈니스(회사생활 영어)
계속 수고해줘요.,Keep up the good work.,비즈니스(회사생활 영어)
초안 검토하느라 고생해 주셔서 감사해요.,Thanks for taking the trouble to review the draft.,비즈니스(회사생활 영어)
저를 공항까지 바래다주느라 시간 내주셔서 감사해요.,Thanks for taking the time to give me a ride to the airport.,비즈니스(회사생활 영어)
모두 정말 잘했어요!,Kudos to everyone.,비즈니스(회사생활 영어)
나 마감을 놓쳐서 회사에서 혼났어.,I got in trouble at work for missing a deadline.,비즈니스(회사생활 영어)
내 상사가 프로젝트 결좌를 탐탁지 않아했어.,My boss was not happy with the project results.,비즈니스(회사생활 영어)
그것 때문에 낙담하지 마.,Don't let it get you down.,비즈니스(회사생활 영어)
회식합시다.,Let's have a team lunch.,비즈니스(회사생활 영어)
이번 주에 언제 한번 보자.,Let's get together sometime this week.,비즈니스(회사생활 영어)
치킨과 맥주 할래?,Are you down for some chicken and beer?,비즈니스(회사생활 영어)
미안하지만 다음에 하자.,"""Sorry, but I'll take a rain check.""",비즈니스(회사생활 영어)
드디어 끝이 보여.,"""Finally, the end is in sight.""",비즈니스(회사생활 영어)
나 유급 휴가 쓸 거야.,I'm going to take some PTO.,비즈니스(회사생활 영어)
저 그날 쉬어요.,I'm taking the day off.,비즈니스(회사생활 영어)
저 10일까지 부재중이에요.,I'm out of office until the 10th.,비즈니스(회사생활 영어)
우선 이 얘기는 보류해도 될까요?,Can we table this for now?,비즈니스(회사생활 영어)
나머지는 따로 논의하는 게 어떨까요?,Why don't we discuss the rest offline?,비즈니스(회사생활 영어)
우리 잠깐 확인차 대화해야 돼요.,We need to touch base.,비즈니스(회사생활 영어)
우리 같이 맞춰보자.,Let's sync up.,비즈니스(회사생활 영어)
나에게 진행 상황을 계속 알려주세요.,Please keep me in the loop.,비즈니스(회사생활 영어)
미리 알려드리고 싶었어요.,I wanted to give you a heads up.,비즈니스(회사생활 영어)
"""그냥 미리 알려드리는 건데요, 저 내일 다른 도시에 있을 거예요.""","""Just a heads up, I'll be out of town tomorrow.""",비즈니스(회사생활 영어)
미리 알려줘서 고마워요.,Thanks for the heads up.,비즈니스(회사생활 영어)
잠정적으로 다음 주 수요일로 저희 일정을 잡아주세요.,Please pencil us in for next Wednesday.,비즈니스(회사생활 영어)
우리 1대1 면담을 월요일 오후 3시로 일단 잡아 둘게요.,I'll pencil in our 1-on-1 for 3 P.M. Monday.,비즈니스(회사생활 영어)
준비되면 그냥 나에게 메시지 하나 보내줘.,Just ping me when you're ready.,비즈니스(회사생활 영어)
오늘 그것을 위해 짬을 낼 수 있어.,I can squeeze that in today.,비즈니스(회사생활 영어)
촬영을 위해 미리 시간을 좀 빼뒀어요.,I blocked out some time for the shoot.,비즈니스(회사생활 영어)
Jane이 프로젝트를 이끌어 가고 있어.,Jane is taking the lead on the project.,비즈니스(회사생활 영어)
행사장 예약은 Kate가 처리할 거예요.,Kate will take care of booking the venue.,비즈니스(회사생활 영어)
마케팅적인 부분은 Sarah가 맡아서 처리할 거예요.,Sarah will take care of the marketing side of things.,비즈니스(회사생활 영어)
이 프로젝트 처리할 수 있는 여력이 되세요?,Do you have the bandwidth to handle this project?,비즈니스(회사생활 영어)
나 할일이 너무 많아.,I have a lot on my plate.,비즈니스(회사생활 영어)
제가 당신의 업무에서 회의 준비를 덜어드릴게요. 제가 맡을게요.,I can take the meeting preparation off your plate.,비즈니스(회사생활 영어)
회의의 요점을 잠깐 설명해 줄 수 있어요?,Could you give me a quick rundown of the meeting?,비즈니스(회사생활 영어)
재고 관리를 어떻게 하는지 차근차근 설명해 주실 수 있으세요?,Could you walk me through how to manage the inventory?,비즈니스(회사생활 영어)
밀린 이메일이 많이 있어요.,Ihave a lot of emails to catch up on.,비즈니스(회사생활 영어)
제가 그 프로젝트의 세부사항에 대해 궁금한 점을 알려드릴게요.,I can fill you in on the details of the project.,비즈니스(회사생활 영어)
내 상사에게 그 아이디어를 얘기했어요.,I ran the ideas by my boss.,비즈니스(회사생활 영어)
그가 아이디어들을 허락했어요.,He gave the ideas the thumbs up.,비즈니스(회사생활 영어)
고객이 우리의 제안을 반대했어.,The client gave our proposal the thumbs down.,비즈니스(회사생활 영어)
그 사용자 설문조사를 진행하기로 결정했어요.,We decided to move forward with the user survey.,비즈니스(회사생활 영어)
우리가 그 계획은 당분간 보류하는 게 좋겠어요.,We should put the plan on hold for now.,비즈니스(회사생활 영어)
우리는 궤도에 올라와 있어요.,We're on track.,비즈니스(회사생활 영어)
우리가 (예상치 못한) 몇 가지 문제점에 부딪혔어요.,We ran into some issues.,비즈니스(회사생활 영어)
그런데 우리는 다시 정상화되었어요.,But we're back on track,비즈니스(회사생활 영어)
우리가 일정에 뒤처지고 있어요.,We are running behind schedule.,비즈니스(회사생활 영어)
그 보수공사가 일정보다 빨리 끝났어요.,The renovation was completed ahead of schedule.,비즈니스(회사생활 영어)
우리 일정에 딱 맞아요.,We are right on schedule.,비즈니스(회사생활 영어)
새로운 광고는 효과가 미미했어요.,The new ads didn't quite move the needle.,비즈니스(회사생활 영어)
그게 브랜드 인지도 측면으로는 그다지 가시적인 성과를 내지 못했어요.,It didn't quite move the needle in terms of brand awareness.,비즈니스(회사생활 영어)
그 과정에서 몇몇 느낀 점들이 있었어요.,There were some takeaways along the way.,비즈니스(회사생활 영어)
"새로운 마케팅 전략을 논의하기 위해 브레인스토밍 회의 일정을 잡는 게 좋겠어요.	",We should schedule a brainstorming meeting to discuss new marketing strategies.,비즈니스(실무영어)
"새로운 디자인에 대해서 얘기하기 위한 30분의 여유 시간이 있으세요?	",Would you be available for 30 minutes to talk about the new design?,비즈니스(실무영어)
"화요일에 가능한 시간이 언제세요?	",What's your availability on Tuesday?,비즈니스(실무영어)
"저 인터넷 연결에 문제가 있어요.	",I'm having issues with the internet connection.,비즈니스(실무영어)
"그래서 제 영상을 끌 거예요.	",So I'm going to turn off my video.,비즈니스(실무영어)
"네 영상이 나왔다 안 나왔다 끊겨.	",Your video cuts in and out.,비즈니스(실무영어)
"미안 회의가 늦어지고 있어.	",Sorry my meeting is running over.,비즈니스(실무영어)
"우리가 10분 정도 후에 끝날 거예요.	",We should be done in about 10 minutes.,비즈니스(실무영어)
"마케팅 회의를 15분 미룰 수 있을까?	",Can we push baack the marketing meeting by 15 minutes?,비즈니스(실무영어)
우리가 그 회의를 다음 주로 미뤄도 될까요?,Would you mind if we push the meeting to next week?,비즈니스(실무영어)
"지금 우리 옆길로 좀 새고 있어요.	",We are getting a bit sidetracked here.,비즈니스(실무영어)
"해외 시장의 주제에 집중하도록 해요.	",Let's focus on the topic of overseas markets.,비즈니스(실무영어)
"그것은 다음번으로 남겨두자.	",Let's save that for next time.,비즈니스(실무영어)
"당신이 참고하실 수 있도록 이메일을 포워드(전달) 해드렸어요.	",I forwarded the email for your reference.,비즈니스(실무영어)
"우리 회의를 위해 안건을 작성했어요.	",I wrote up an agenda for our meeting.,비즈니스(실무영어)
"그 문서를 미리 훑어봐 주실래요?	",Could you look over the doc ahead of time?,비즈니스(실무영어)
"그걸 미리 검토해 주시겠어요?	",Could you review it ahead of time?,비즈니스(실무영어)
"우리가 마무리하기 전에, 질문 있으신 분 있으세요?","""Before we wrap up, does anyone have any questions?""	",비즈니스(실무영어)
"Max에게 그것을 알아보고 당신에게 보고하라고 시킬게요.	",I'll have Max look into it and get back to you.,비즈니스(실무영어)
"이상입니다.	",That's all from my end.,비즈니스(실무영어)
"""모두 오셨으니, 이제 시작하죠.""","""Since everyone is here, let's get started.""",비즈니스(실무영어)
이 발표의 목적은 1분기 마케팅 계획을 논의하는 거예요.,The goal of this presentation is to discuss our marketing plans for Q1.,비즈니스(실무영어)
"""먼저, 지난주 새로운 소식에 대해서 얘기하겠습니다.""","""First, I'll talk about last week's updates.""",비즈니스(실무영어)
우리의 사용자 기반을 키워나가는 것을 목표로 해야 합니다.,We should aim to grow our user base.,비즈니스(실무영어)
우리의 단기 목표는 사용자 만족도를 30% 증가시키는 거예요.,Our short term goal is to increase user satisfaction by 30%.,비즈니스(실무영어)
"""목표를 이루기 위해서는, 모두의 도움이 필요해요.""","""To that end, we need all hands on deck.""",비즈니스(실무영어)
"""이 계획을 실행함으로써, 생산력에 있어서 무려 20%의 증가를 기대할 수 있습니다.""","""By implementing this plan, we could see as much as a 20% increase in productivity.""",비즈니스(실무영어)
제작을 아웃 소싱하는 것은 새로운 회사 전략과도 일치합니다.,Outsourcing production is in line with the new company strategy.,비즈니스(실무영어)
우리 판매에 대한 짧은 개요로 시작하고자 합니다.,I'd like to start off with a quick overview of our sales.,비즈니스(실무영어)
"""이 그래프에서 보실 수 있다시피, 사용자 가입에 있어서 약간의 감소가 있습니다.""","""As you can see from this graph, there's a slight drop in user signups.""",비즈니스(실무영어)
"""자, 다음 주제로 넘어가 볼게요.""","""Now, let's move on to the next topic.""",비즈니스(실무영어)
그게 다음 요점으로 이어지는 데요.,That brings us to the next point.,비즈니스(실무영어)
"""요약해서 말하자면, 우리의 전략을 재고해야합니다.""","""In a nutshell, we need to rethink our strategy.""",비즈니스(실무영어)
"""그러니까, 결정을 미루고 싶다는 말씀이신 거죠?""","""So, are you saying that you'd like to delay the decision?""",비즈니스(실무영어)
"""제가 정확하게 듣고 있다면, 우리가 새로운 아이디어를 구상해야 하는 거죠?""","""If I'm hearing you correctly, we have to come up with new ideas?""",비즈니스(실무영어)
마감이 너무 빠듯하다고 생각하지는 않으세요?,Don't you think the deadline is too tight?,비즈니스(실무영어)
"""맞아요, 판매가 중요하죠 하지만 가격을 내릴 순 없어요?""","""Yes, sales are important but we can't lower the price""",비즈니스(실무영어)
우리 더 많은 인플루언서들에게 연락을 취해보면 어떨까요?,What if we reach out to more influencers?,비즈니스(실무영어)
"""이건 그냥 아이디어인데요, 특별한 프로모션을 진행하면 어때요?""","""This is just an idea, but what if we run a special promotion?""",비즈니스(실무영어)
어쩌면 우리가 조사를 더 해야할 것 같아요.,Perhaps we should do more research.,비즈니스(실무영어)
"""그건 일리 있는 지적인데요, 하지만 저는 그것이 여전히 할 만하다고 생각합니다.""","""That's a valid point, but I think it's still doable.""",비즈니스(실무영어)
"""당신이 왜 그렇게 생각하는지 이해를 하지만, 저는 그들이 발전할 수 있다고 믿습니다.""","""I see where you're coming from, but I believe they can improve.""",비즈니스(실무영어)
